,person,cluster,centroid_latitude,centroid_longitude,count,count_per_person,mean_duration_mins_weekend,mean_duration_mins_workday,mean_start_mins_of_day_weekend,mean_start_mins_of_day_workday,std_duration_mins_weekend,std_duration_mins_workday,std_start_mins_of_day_weekend,std_start_mins_of_day_workday,min_duration_mins_weekend,min_duration_mins_workday,min_start_mins_of_day_weekend,min_start_mins_of_day_workday,max_duration_mins_weekend,max_duration_mins_workday,max_start_mins_of_day_weekend,max_start_mins_of_day_workday,count_duration_mins_weekend,count_duration_mins_workday,count_start_mins_of_day_weekend,count_start_mins_of_day_workday
117,person2,41,51.03562266666666,3.7363202666666666,3,3,1.0,162.0,1123.0,967.5,0.0,229.1025971044414,0.0,4.949747468305833,1,0,1123,964,1,324,1123,971,1,2,1,2
118,person2,42,51.05281,3.8350693999999996,1,1,0.0,0.0,0.0,1030.0,,,,,0,0,0,1030,0,0,0,1030,0,1,0,1
119,person2,43,51.07502,3.9873729,1,1,0.0,0.0,0.0,1036.0,,,,,0,0,0,1036,0,0,0,1036,0,1,0,1
120,person2,44,51.131607,4.1145587,1,1,0.0,0.0,0.0,1042.0,,,,,0,0,0,1042,0,0,0,1042,0,1,0,1
121,person2,45,51.20722,4.3332763,1,1,0.0,4.0,0.0,1064.0,,,,,0,4,0,1064,0,4,0,1064,0,1,0,1
122,person2,46,51.066340000000004,3.8808160000000003,1,1,0.0,0.0,1335.0,0.0,,,,,0,0,1335,0,0,0,1335,0,1,0,1,0
123,person2,47,51.050955,3.7471547000000003,2,2,48.5,0.0,1373.5,0.0,68.58935777509511,0.0,4.949747468305833,0.0,0,0,1370,0,97,0,1377,0,2,0,2,0
124,person2,48,51.08227,4.0088897,1,1,1.0,0.0,887.0,0.0,,,,,1,0,887,0,1,0,887,0,1,0,1,0
125,person2,49,51.14334,4.1827917,1,1,1.0,0.0,897.0,0.0,,,,,1,0,897,0,1,0,897,0,1,0,1,0
126,person2,50,51.017227,4.451169999999999,1,1,2.0,0.0,708.0,0.0,,,,,2,0,708,0,2,0,708,0,1,0,1,0
127,person2,51,50.81247275,4.381509187500001,8,8,20.0,0.0,803.25,0.0,34.899856733230294,0.0,74.55534856735629,0.0,2,0,731,0,106,0,929,0,8,0,8,0
128,person2,52,50.86111,4.436819,1,1,2.0,0.0,952.0,0.0,,,,,2,0,952,0,2,0,952,0,1,0,1,0
129,person2,53,51.1035745,4.4345669999999995,2,1,4.0,0.0,968.0,0.0,,,,,4,0,968,0,4,0,968,0,1,0,1,0
130,person2,54,51.05574,4.8789620000000005,1,1,0.0,4.0,0.0,1159.0,,,,,0,4,0,1159,0,4,0,1159,0,1,0,1
131,person2,55,51.135715000000005,4.144014,1,1,0.0,0.0,1110.0,0.0,,,,,0,0,1110,0,0,0,1110,0,1,0,1,0
132,person2,56,51.060772,3.861407,1,1,1.0,0.0,1119.0,0.0,,,,,1,0,1119,0,1,0,1119,0,1,0,1,0
133,person2,57,50.980913,3.6416707,2,2,1.0,0.0,1234.5,0.0,1.4142135623730951,0.0,149.19953083036154,0.0,0,0,1129,0,2,0,1340,0,2,0,2,0
134,person2,58,50.983939875000004,3.5272061124999996,8,8,17.375,0.0,1205.25,0.0,32.876120295957755,0.0,55.87933428379405,0.0,0,0,1148,0,97,0,1331,0,8,0,8,0
135,person2,59,51.144245,3.6016065999999998,1,1,1.0,0.0,830.0,0.0,,,,,1,0,830,0,1,0,830,0,1,0,1,0
136,person2,60,51.2105,3.4914703,1,1,0.0,0.0,851.0,0.0,,,,,0,0,851,0,0,0,851,0,1,0,1,0
137,person2,61,51.258762,3.3834123999999997,1,1,2.0,0.0,857.0,0.0,,,,,2,0,857,0,2,0,857,0,1,0,1,0
138,person2,62,51.35045892857142,3.293363935714286,14,14,3.2142857142857144,0.0,973.9285714285714,0.0,5.859621560746464,0.0,55.07681947930585,0.0,0,0,867,0,22,0,1051,0,14,0,14,0
139,person2,63,51.316631,3.3059211666666664,3,3,2.3333333333333335,0.0,1072.6666666666667,0.0,0.5773502691896257,0.0,7.023769168568463,0.0,2,0,1066,0,3,0,1080,0,3,0,3,0
140,person2,64,51.33475000000001,3.2905555,3,3,3.0,0.0,1097.0,0.0,5.196152422706632,0.0,8.54400374531753,0.0,0,0,1089,0,9,0,1106,0,3,0,3,0
141,person2,65,51.210159999999995,3.5278482,1,1,25.0,0.0,1119.0,0.0,,,,,25,0,1119,0,25,0,1119,0,1,0,1,0
142,person2,66,51.23075132692307,4.403832065384615,52,3,0.0,59.0,0.0,727.0,0.0,36.59234892706397,0.0,161.04657711357916,0,21,0,587,0,94,0,903,0,3,0,3
143,person2,67,51.205468999999994,4.561552,3,3,0.0,0.0,1134.5,1407.0,0.0,0.0,202.93964620053913,0.0,0,0,991,1407,0,0,1278,1407,2,1,2,1
144,person2,68,51.061043,4.979588,1,1,0.0,0.0,1022.0,0.0,,,,,0,0,1022,0,0,0,1022,0,1,0,1,0
145,person2,69,51.049820000000004,4.947962775,4,4,41.25,0.0,1100.25,0.0,62.68107103956239,0.0,85.3634386998712,0.0,0,0,1030,0,133,0,1224,0,4,0,4,0
146,person2,70,51.016242999999996,4.946041999999999,1,1,0.0,0.0,1076.0,0.0,,,,,0,0,1076,0,0,0,1076,0,1,0,1,0
147,person2,71,51.143227,4.948328500000001,1,1,10.0,0.0,1247.0,0.0,,,,,10,0,1247,0,10,0,1247,0,1,0,1,0
148,person2,72,51.18270475,4.435908825,4,4,58.5,0.0,762.75,0.0,98.96295603237944,0.0,110.1131993299017,0.0,0,0,598,0,206,0,828,0,4,0,4,0
149,person2,73,51.190888,4.4238164499999995,2,2,0.0,3.0,859.0,62.0,,,,,0,3,859,62,0,3,859,62,1,1,1,1
150,person2,74,51.207436,4.4201097,1,1,9.0,0.0,872.0,0.0,,,,,9,0,872,0,9,0,872,0,1,0,1,0
151,person2,75,51.218698,4.37161075,2,2,77.5,0.0,889.5,0.0,109.60155108391487,0.0,4.949747468305833,0.0,0,0,886,0,155,0,893,0,2,0,2,0
